component_id,component_name,component_kind,lifecycle_status,entity,area,primary_owner_role,steward_ops_domain,secondary_owner_role,escalation_owner_role,repo_slug,github_url,api_exposure,api_spec_pointer,integration_pattern,depends_on_component_ids,parent_component_id,primary_process_item_id,related_process_item_ids,topic_ids,access_level_data,data_classification,environment_scope,slo_tier,runbook_link,doc_link,legal_hold,retention_policy_ref,last_verified_date,source_row,notes
comp_matriz_00038,xCode — Apple (sheet row 38),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Virtual Machine; subcategory=MacOS
comp_matriz_00039,xCode — Apple (sheet row 39),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Virtual Machine; subcategory=MacOS
comp_matriz_00040,Office365 — Microsoft,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=No SQL
comp_matriz_00041,Google Workspace — Google (sheet row 41),infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Office Automation
comp_matriz_00042,Microsoft Power Platform — Microsoft,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Ofimática; subcategory=Ofimática
comp_matriz_00043,ButterCup — ButterCup (sheet row 43),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Password Manager
comp_matriz_00044,Microsoft Azure — Microsft (sheet row 44),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Password Manager
comp_matriz_00045,Discord — Amazon,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Role & Rules
comp_matriz_00046,Google Cloud Console — Google (sheet row 46),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Role & Rules
comp_matriz_00047,Microsoft Azure — Microsft (sheet row 47),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Role & Rules
comp_matriz_00048,Supabase — Supabase (sheet row 48),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Role & Rules
comp_matriz_00049,Salesforce y/o SAP — Infraestructure as a Service,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=SaaS; subcategory=Software as a Service; description=Hosting as a Service
comp_matriz_00050,HuggingFace — HuggingFace (sheet row 50),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=SQL
comp_matriz_00051,Microsoft Azure — Microsft (sheet row 51),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=SQL
comp_matriz_00052,Supabase — Supabase (sheet row 52),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=PostgreSQL
comp_matriz_00053,Supabase — Supabase (sheet row 53),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Protocolo S3
comp_matriz_00054,Supabase — Supabase (sheet row 54),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=SQL
comp_matriz_00055,Airtable — Airtable (sheet row 55),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=SQL Hybrid
comp_matriz_00056,Google Workspace — Google (sheet row 56),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=SQL Hybrid
comp_matriz_00057,Postman — Postman (sheet row 57),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Token Repository
comp_matriz_00058,OpenAI — OpenAI,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=AI; subcategory=Multimodal LLM
comp_matriz_00059,OpenAI Access Manager — OpenAI,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Token Repository
comp_matriz_00060,Google Cloud Console — Google (sheet row 60),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Token Repository
comp_matriz_00061,Microsoft Azure — Microsft (sheet row 61),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Token Repository
comp_matriz_00062,xCode — Apple (sheet row 62),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Virtual Machine; subcategory=WatchOS
comp_matriz_00063,HuggingFace — HuggingFace (sheet row 63),infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Web
comp_matriz_00064,Vercel — Vercel (sheet row 64),infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Web
comp_matriz_00065,Vercel — Vercel (sheet row 65),infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Web
